Aasta;Kvartal;Maakond;Hoone_liik;Korteriomanditeginute_Arv;Keskmine_m2;Kokku_tehinguhind;Minimaalne_tehingusumma;Maksimaalne_tehingsumma;Minimaalne_pinnaühikuhind;Maksimaalne_pinnaühikuhind;Mediaan_pinnaühikuhind;Keskmine_pinnaühikuhind;Standardhälve_pinnaühikuhind
2018;I;Põlva maakond;koretr_55_69.99;7.00;64.20;90200.00;3000.00;26900.00;52.91;387.61;112.00;198.80;147.97
2018;I;Põlva maakond;koretr_70_249.99;5.00;***;***;***;***;***;***;***;***;***
2018;I;Põlva maakond;Elamu;16;83.00;359 200;2 600;63 000;28.54;616.29;213.38;255.08;189.00
2018;I;Põlva maakond;Suvila;1;***;***;***;***;***;***;***;***;***
2018;I;Pärnu maakond;koretr_10_29.99;28.00;25.00;681125.00;1500.00;46875.00;72.46;2589.78;1031.72;984.30;570.92
2018;I;Pärnu maakond;koretr_30_40.99;46.00;36.90;1417718.00;500.00;78300.00;12.82;2243.55;995.21;842.38;604.10
2018;I;Pärnu maakond;koretr_41_54.99;92.00;47.30;4164630.00;1000.00;166000.00;22.08;3186.18;998.01;947.81;623.97
2018;I;Pärnu maakond;koretr_55_69.99;75.00;62.50;4041003.00;300.00;195180.00;4.37;3242.19;887.37;877.78;649.48
2018;I;Pärnu maakond;koretr_70_249.99;44.00;82.70;3296805.00;1000.00;204000.00;14.29;2559.06;874.31;889.98;672.61
2018;I;Pärnu maakond;Elamu;56;134.40;4 560 828;500;396 000;4.71;1 494.62;564.18;618.19;407.48
2018;I;Pärnu maakond;Suvila;8;73.60;417 959;19 000;181 959;313.01;2 171.35;582.44;735.71;605.89
2018;I;Rapla maakond;koretr_10_29.99;5.00;23.70;65100.00;600.00;26000.00;35.29;875.42;507.25;483.43;322.22
2018;I;Rapla maakond;koretr_30_40.99;6.00;35.20;44555.00;3000.00;10000.00;94.64;283.29;223.12;209.07;68.09
2018;I;Rapla maakond;koretr_41_54.99;30.00;46.90;578091.00;300.00;55000.00;7.01;1193.85;291.83;404.37;363.51
2018;I;Rapla maakond;koretr_55_69.99;17.00;64.40;310900.00;2000.00;45000.00;30.82;786.71;215.57;292.81;242.61
2018;I;Rapla maakond;koretr_70_249.99;11.00;75.40;347600.00;5000.00;72500.00;68.78;1032.76;394.92;429.83;305.49
2018;I;Rapla maakond;Elamu;20;120.00;1 083 309;319;178 500;3.27;1 291.14;369.15;470.78;402.21
2018;I;Rapla maakond;Suvila;8;56.50;196 525;17 000;31 625;272.60;800.00;475.59;505.51;196.44
2018;I;Saare maakond;koretr_10_29.99;3.00;***;***;***;***;***;***;***;***;***
2018;I;Saare maakond;koretr_30_40.99;10.00;37.60;85700.00;1000.00;37000.00;25.64;931.99;157.01;224.42;257.15
2018;I;Saare maakond;koretr_41_54.99;16.00;48.00;591701.00;9000.00;80000.00;212.26;1851.85;683.85;779.05;444.63
2018;I;Saare maakond;koretr_55_69.99;8.00;62.70;375500.00;3000.00;108000.00;52.08;1741.94;742.28;745.52;535.90
2018;I;Saare maakond;koretr_70_249.99;5.00;***;***;***;***;***;***;***;***;***
2018;I;Saare maakond;Elamu;10;107.70;663 400;11 000;153 000;76.07;1 673.36;590.64;687.84;499.72
2018;I;Saare maakond;Suvila;2;***;***;***;***;***;***;***;***;***
2018;I;Tartu maakond;koretr_10_29.99;38.00;22.70;1215947.00;1000.00;76000.00;80.00;2869.57;1285.74;1386.02;598.48
2018;I;Tartu maakond;koretr_30_40.99;96.00;36.30;4485285.00;1000.00;97760.00;24.81;2708.03;1350.91;1283.07;501.68
2018;I;Tartu maakond;koretr_41_54.99;168.00;47.90;10827649.00;1300.00;165125.00;29.08;3181.60;1332.63;1350.42;595.38
2018;I;Tartu maakond;koretr_55_69.99;149.00;62.60;11152925.00;6250.00;201600.00;89.80;3174.80;1271.62;1207.27;543.82
2018;I;Tartu maakond;koretr_70_249.99;146.00;89.00;17334949.00;11000.00;400000.00;96.07;3177.12;1356.59;1342.83;459.76
2018;I;Tartu maakond;Elamu;74;162.10;9 770 250;8 000;400 000;108.11;1 859.38;820.35;844.98;443.82
2018;I;Tartu maakond;Suvila;12;77.10;645 500;7 500;200 000;85.08;9 478.67;610.09;1 552.18;2 670.20
2018;I;Valga maakond;koretr_10_29.99;13.00;24.70;31650.00;250.00;8500.00;12.76;320.75;59.29;92.48;96.04
2018;I;Valga maakond;koretr_30_40.99;19.00;35.80;77404.00;500.00;10500.00;13.74;270.62;101.60;114.48;81.02
2018;I;Valga maakond;koretr_41_54.99;18.00;47.20;108820.00;300.00;15000.00;6.79;345.62;129.61;128.82;98.12
2018;I;Valga maakond;koretr_55_69.99;17.00;62.90;157960.00;1000.00;48000.00;14.68;780.49;117.99;149.35;180.63
2018;I;Valga maakond;koretr_70_249.99;7.00;79.90;83500.00;1000.00;26200.00;13.05;337.75;138.89;148.24;132.27
2018;I;Valga maakond;Elamu;17;132.30;433 592;100;147 920;1.69;1 048.22;145.24;210.59;248.50
2018;I;Valga maakond;Suvila;1;***;***;***;***;***;***;***;***;***
2018;I;Viljandi maakond;koretr_10_29.99;8.00;21.40;43425.00;1000.00;10000.00;36.23;741.87;233.71;297.17;229.34
2018;I;Viljandi maakond;koretr_30_40.99;15.00;38.00;194400.00;1000.00;29000.00;25.25;863.10;371.79;340.37;282.60
2018;I;Viljandi maakond;koretr_41_54.99;40.00;48.20;863517.00;100.00;69000.00;2.39;1399.59;362.10;446.79;390.99
2018;I;Viljandi maakond;koretr_55_69.99;28.00;62.10;964221.00;250.00;89900.00;4.22;1354.89;517.35;547.07;440.43
2018;I;Viljandi maakond;koretr_70_249.99;14.00;80.80;215157.00;1000.00;45000.00;13.59;642.86;151.63;196.68;179.55
2018;I;Viljandi maakond;Elamu;32;164.00;1 615 600;1 000;170 000;9.95;705.08;252.94;293.02;205.69
2018;I;Viljandi maakond;Suvila;1;***;***;***;***;***;***;***;***;***
2018;I;Võru maakond;koretr_10_29.99;10.00;27.90;88700.00;1000.00;19500.00;36.10;686.62;308.01;319.66;199.86
2018;I;Võru maakond;koretr_30_40.99;12.00;36.30;123701.00;1.00;22000.00;0.03;577.43;273.83;279.65;187.35
2018;I;Võru maakond;koretr_41_54.99;31.00;46.70;526450.00;650.00;36800.00;12.67;771.49;371.90;362.37;197.32
2018;I;Võru maakond;koretr_55_69.99;15.00;61.60;276300.00;100.00;36000.00;1.69;585.37;313.04;302.94;203.79
2018;I;Võru maakond;koretr_70_249.99;13.00;75.90;232967.00;600.00;40000.00;7.63;536.91;249.65;236.18;198.87
2018;I;Võru maakond;Elamu;13;132.10;602 900;2 000;157 000;32.63;1 003.84;253.92;309.16;273.70
2018;I;Võru maakond;Suvila;7;20.40;44 500;1 000;14 000;61.35;769.23;266.67;302.30;241.55
2018;II;Harju maakond;koretr_10_29.99;250.00;21.70;10092467.00;2000.00;113500.00;121.21;4138.01;1863.88;1876.05;735.74
2018;II;Harju maakond;koretr_30_40.99;479.00;35.30;28021875.00;500.00;145000.00;14.16;4089.60;1671.73;1657.95;596.34
2018;II;Harju maakond;koretr_41_54.99;891.00;47.50;70827915.00;1960.00;228000.00;37.19;4222.22;1600.42;1671.13;646.66
2018;II;Harju maakond;koretr_55_69.99;804.00;62.10;83345316.00;1200.00;345000.00;17.80;5180.18;1606.65;1677.30;628.37
2018;II;Harju maakond;koretr_70_249.99;885.00;95.00;151612129.00;9500.00;720000.00;76.00;4412.47;1743.20;1813.50;598.19
2018;II;Harju maakond;Elamu;178;190.90;36 464 984;5 000;2 562 000;42.77;8 993.58;1 125.46;1 230.55;958.14
2018;II;Harju maakond;Muu;1;***;***;***;***;***;***;***;***;***
2018;II;Harju maakond;Suvila;119;55.20;6 892 495;4 000;500 000;87.15;3 328.89;964.02;1 148.18;779.32
2018;II;Hiiu maakond;koretr_30_40.99;1.00;***;***;***;***;***;***;***;***;***
2018;II;Hiiu maakond;koretr_41_54.99;3.00;***;***;***;***;***;***;***;***;***
2018;II;Hiiu maakond;koretr_55_69.99;4.00;***;***;***;***;***;***;***;***;***
2018;II;Hiiu maakond;koretr_70_249.99;5.00;86.80;113400.00;1000.00;36000.00;10.37;451.13;402.96;282.22;199.29
2018;II;Hiiu maakond;Elamu;6;125.00;358 500;5 000;173 500;42.99;1 319.39;415.72;503.36;464.83
2018;II;Ida-Viru maakond;koretr_10_29.99;62.00;26.00;353689.00;100.00;13500.00;6.29;494.51;185.39;219.05;146.08
2018;II;Ida-Viru maakond;koretr_30_40.99;162.00;36.60;1297910.00;1.00;39999.00;0.03;1234.54;190.05;218.22;186.10
2018;II;Ida-Viru maakond;koretr_41_54.99;174.00;47.90;1785611.00;1.00;39500.00;0.02;788.42;145.58;212.71;185.14
2018;II;Ida-Viru maakond;koretr_55_69.99;93.00;61.90;1714350.00;100.00;87000.00;1.68;1433.28;273.46;297.61;241.71
2018;II;Ida-Viru maakond;koretr_70_249.99;34.00;80.10;1488850.00;250.00;150000.00;3.44;1635.77;426.37;524.49;372.62
2018;II;Ida-Viru maakond;Elamu;33;108.70;1 331 040;700;163 000;9.10;996.98;333.65;363.42;292.53
2018;II;Ida-Viru maakond;Suvila;90;45.30;757 260;100;46 500;8.40;570.78;166.37;192.30;127.39
2018;II;Jõgeva maakond;koretr_10_29.99;3.00;***;***;***;***;***;***;***;***;***
2018;II;Jõgeva maakond;koretr_30_40.99;4.00;***;***;***;***;***;***;***;***;***
2018;II;Jõgeva maakond;koretr_41_54.99;31.00;47.10;317500.00;100.00;23800.00;2.24;487.01;224.36;218.87;159.94
2018;II;Jõgeva maakond;koretr_55_69.99;18.00;62.70;226100.00;500.00;32000.00;7.62;488.19;198.11;196.94;154.65
2018;II;Jõgeva maakond;koretr_70_249.99;8.00;75.10;86800.00;800.00;28900.00;10.85;371.47;127.76;144.74;132.84
2018;II;Jõgeva maakond;Elamu;34;134.70;1 432 710;650;122 000;6.56;1 129.53;292.94;317.91;226.87
2018;II;Jõgeva maakond;Suvila;2;***;***;***;***;***;***;***;***;***
2018;II;Järva maakond;koretr_10_29.99;8.00;21.70;38000.00;1600.00;14000.00;70.18;518.52;107.50;197.11;187.26
2018;II;Järva maakond;koretr_30_40.99;27.00;38.00;328850.00;400.00;26200.00;10.03;666.67;306.75;324.69;205.44
2018;II;Järva maakond;koretr_41_54.99;33.00;46.70;350940.00;100.00;34000.00;2.40;665.36;197.21;224.63;196.34
