Näitaja,Lapse vanus leibkonnas,Väärtus,Leibkonna tüüp,Aasta
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,75.8,Lasteta vähemalt 65-aastaste paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,74.7,Lasteta vähemalt 65-aastaste paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,78.5,Lasteta vähemalt 65-aastaste paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,78.4,Lasteta vähemalt 65-aastaste paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,84.9,Lasteta vähemalt 65-aastaste paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,84.2,Lasteta vähemalt 65-aastaste paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,83.4,Lasteta vähemalt 65-aastaste paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lasteta vähemalt 65-aastaste paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,85.6,Lasteta vähemalt 65-aastaste paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,85.6,Lasteta vähemalt 65-aastaste paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,90.9,Lasteta vähemalt 65-aastaste paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,90.9,Lasteta vähemalt 65-aastaste paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,225.2,Muu lasteta leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,232.6,Muu lasteta leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,246.8,Muu lasteta leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,259.0,Muu lasteta leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,253.5,Muu lasteta leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,248.3,Muu lasteta leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,251.4,Muu lasteta leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,265.4,Muu lasteta leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,300.1,Muu lasteta leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,312.3,Muu lasteta leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,313.5,Muu lasteta leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,304.8,Muu lasteta leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,288.8,Muu lasteta leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,281.1,Muu lasteta leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,256.2,Muu lasteta leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,260.0,Muu lasteta leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,255.1,Muu lasteta leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,236.7,Muu lasteta leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,218.5,Muu lasteta leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,205.4,Muu lasteta leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,197.8,Muu lasteta leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,194.2,Muu lasteta leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,187.9,Muu lasteta leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lasteta leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,189.1,Muu lasteta leibkond,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,137.2,Muu lasteta leibkond,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,194.7,Muu lasteta leibkond,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,124.7,Muu lasteta leibkond,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,734.0,Lastega leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,733.2,Lastega leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,710.9,Lastega leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,689.1,Lastega leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,680.9,Lastega leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,675.3,Lastega leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,652.8,Lastega leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,633.1,Lastega leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,602.4,Lastega leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,588.0,Lastega leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,582.4,Lastega leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,583.9,Lastega leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,586.0,Lastega leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,591.3,Lastega leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,581.8,Lastega leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,585.0,Lastega leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,580.2,Lastega leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,578.7,Lastega leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,587.7,Lastega leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,584.4,Lastega leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,584.4,Lastega leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,587.6,Lastega leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,590.1,Lastega leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Lastega leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,616.0,Lastega leibkond,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,667.9,Lastega leibkond,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,608.3,Lastega leibkond,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,678.2,Lastega leibkond,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,81.5,Täiskasvanu ja laps(ed),2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,70.8,Täiskasvanu ja laps(ed),2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,69.2,Täiskasvanu ja laps(ed),2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,81.4,Täiskasvanu ja laps(ed),2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,65.1,Täiskasvanu ja laps(ed),2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,55.0,Täiskasvanu ja laps(ed),2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,67.6,Täiskasvanu ja laps(ed),2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,53.4,Täiskasvanu ja laps(ed),2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,55.1,Täiskasvanu ja laps(ed),2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,49.2,Täiskasvanu ja laps(ed),2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,43.1,Täiskasvanu ja laps(ed),2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,41.5,Täiskasvanu ja laps(ed),2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,47.1,Täiskasvanu ja laps(ed),2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,44.9,Täiskasvanu ja laps(ed),2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,39.7,Täiskasvanu ja laps(ed),2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,42.1,Täiskasvanu ja laps(ed),2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,42.1,Täiskasvanu ja laps(ed),2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,47.3,Täiskasvanu ja laps(ed),2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,45.1,Täiskasvanu ja laps(ed),2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,48.6,Täiskasvanu ja laps(ed),2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,48.1,Täiskasvanu ja laps(ed),2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,49.3,Täiskasvanu ja laps(ed),2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,46.7,Täiskasvanu ja laps(ed),2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Täiskasvanu ja laps(ed),2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,45.3,Täiskasvanu ja laps(ed),2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,54.9,Täiskasvanu ja laps(ed),2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,55.3,Täiskasvanu ja laps(ed),2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,69.4,Täiskasvanu ja laps(ed),2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,160.9,Ühe lapsega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,174.5,Ühe lapsega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,152.6,Ühe lapsega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,145.6,Ühe lapsega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,145.1,Ühe lapsega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,152.1,Ühe lapsega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,145.9,Ühe lapsega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,171.8,Ühe lapsega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,137.8,Ühe lapsega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,139.9,Ühe lapsega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,136.5,Ühe lapsega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,129.1,Ühe lapsega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,144.7,Ühe lapsega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,130.6,Ühe lapsega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,128.4,Ühe lapsega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,131.6,Ühe lapsega paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,127.8,Ühe lapsega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,120.5,Ühe lapsega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,126.4,Ühe lapsega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,127.1,Ühe lapsega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,128.6,Ühe lapsega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,129.3,Ühe lapsega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,124.9,Ühe lapsega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ühe lapsega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,130.5,Ühe lapsega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,155.0,Ühe lapsega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,133.6,Ühe lapsega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,158.4,Ühe lapsega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,179.5,Kahe lapsega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,181.7,Kahe lapsega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,189.4,Kahe lapsega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,160.0,Kahe lapsega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,166.0,Kahe lapsega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,143.7,Kahe lapsega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,139.1,Kahe lapsega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,146.9,Kahe lapsega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,151.1,Kahe lapsega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,151.2,Kahe lapsega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,150.6,Kahe lapsega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,157.9,Kahe lapsega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,149.3,Kahe lapsega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,148.6,Kahe lapsega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,168.9,Kahe lapsega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,157.0,Kahe lapsega paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,167.4,Kahe lapsega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,175.7,Kahe lapsega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,174.7,Kahe lapsega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,169.8,Kahe lapsega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,162.1,Kahe lapsega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,165.2,Kahe lapsega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,172.6,Kahe lapsega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Kahe lapsega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,174.5,Kahe lapsega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,218.1,Kahe lapsega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,162.7,Kahe lapsega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,206.4,Kahe lapsega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,73.5,Vähemalt kolme lapsega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,67.4,Vähemalt kolme lapsega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,68.3,Vähemalt kolme lapsega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,58.0,Vähemalt kolme lapsega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,71.1,Vähemalt kolme lapsega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,73.9,Vähemalt kolme lapsega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,62.2,Vähemalt kolme lapsega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,65.1,Vähemalt kolme lapsega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,49.3,Vähemalt kolme lapsega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,51.6,Vähemalt kolme lapsega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,59.0,Vähemalt kolme lapsega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,58.0,Vähemalt kolme lapsega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,55.8,Vähemalt kolme lapsega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,55.5,Vähemalt kolme lapsega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,50.4,Vähemalt kolme lapsega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,52.0,Vähemalt kolme lapsega paar,2015
